ID	sex	age	PC1	PC2	PC3
711	0	64	-13.6605	1.1806	-2.39832
1808	0	46	-12.4736	5.17811	-3.00434
1704	1	41	-14.2292	5.04263	-1.00693
3009	0	63	-13.3471	2.54281	-2.29229
1309	0	69	-10.8782	3.84938	0.398874
118	1	45	-13.5644	3.30113	-2.01714
1661	0	55	-10.395	3.57418	-1.87564
2400	0	48	-10.9134	4.74162	-3.01343
2062	1	55	-11.7664	5.04194	-3.84888
2826	1	66	-11.6473	3.9173	-0.655013
2117	1	58	-11.326	6.11252	-4.19475
1843	0	60	-10.712	3.63639	-0.462025
2576	0	62	-12.9827	4.0669	0.0232042
733	1	60	-13.3922	4.87728	-1.74043
743	0	56	-11.0343	2.63417	1.53258
1212	0	62	-10.7493	3.09747	-0.147158
3055	0	68	-13.1216	4.92856	1.68961
2069	1	42	-11.8219	3.22343	-1.06112
1780	0	67	-11.8819	3.69612	-5.11557
1426	0	62	-13.8763	3.60219	-1.91297
3144	1	51	-8.1792	1.5174	-1.76498
658	1	59	-11.8166	5.15269	0.440019
2860	1	56	-10.1104	3.14635	1.25942
3011	1	67	-15.9964	2.10932	0.697725
3086	0	48	-13.6351	4.56	0.81302
2707	0	64	-11.7434	5.45777	-0.0340741
405	1	66	-14.0893	5.93196	-1.2051
1271	1	57	-12.1256	5.19935	-2.06808
3889	0	50	-12.439	4.35361	-3.23238
1208	1	63	-13.5512	4.40051	-3.91823
3958	0	54	-11.7031	3.26014	-2.71606
1721	0	54	-13.2718	5.16546	-2.20915
3563	0	43	-11.8451	4.7168	-0.87319
3601	0	54	-13.5932	4.58629	-1.35315
3839	1	54	-11.7799	3.09685	-2.06891
2825	0	59	-11.1471	4.41053	-0.84115
439	0	68	-12.113	4.05678	-1.91111
3816	0	47	-11.8576	3.30401	-2.30047
3538	0	48	-11.1132	3.00506	0.158414
278	1	40	-13.2049	6.4793	-2.39388
3261	0	58	-12.6258	4.82322	0.448766
2758	0	64	-13.4855	3.43587	1.06856
2992	1	64	-10.4114	3.19021	-1.25961
3997	1	62	-9.01061	3.12834	0.903787
3151	0	55	-11.4412	3.75556	-2.79362
156	0	64	-9.74546	1.95978	-0.599097
2085	0	61	-10.7549	4.19996	-1.55244
2844	0	60	-11.6665	3.35446	-1.51546
1583	1	59	-11.7452	3.80189	-2.44547
1609	0	67	-12.8831	3.84685	-3.99311
3404	0	57	-15.7601	3.22768	-1.82078
3368	1	61	-11.466	4.57813	-3.17133
3741	1	67	-13.093	4.34079	-4.04649
1019	1	65	-12.1747	0.709847	-0.951638
504	0	49	-9.74301	4.96659	0.509087
2161	1	60	-14.0731	2.47497	-1.74434
771	1	47	-15.0441	4.99211	-0.267469
2336	0	59	-9.8857	4.39372	0.261896
1630	1	56	-12.65	3.9499	-2.93207
1769	0	57	-12.6392	4.73107	-1.64099
467	0	67	-13.4847	4.25351	0.313573
816	0	65	-12.9825	4.81143	-0.116042
491	0	68	-12.3066	2.78433	-2.19461
938	0	59	-13.0448	5.26372	0.12817
822	1	53	-12.3172	2.84723	-2.12719
830	1	50	-16.9232	4.99988	-3.40026
202	1	56	-11.465	5.48531	-0.884983
874	1	57	-11.4259	4.17443	-3.99471
1324	1	65	-14.0313	3.40806	-1.82226
3665	0	58	-11.9685	3.36326	-2.11161
551	1	54	-12.2485	4.00117	-2.6684
3125	0	56	-11.8103	0.150768	-1.50329
2857	0	57	-12.0577	4.75152	0.264511
3027	1	67	-11.4447	4.88138	-3.78315
3492	1	48	-15.4784	5.23486	-1.7262
3968	1	46	-13.7062	4.98846	-0.733536
2538	0	65	-13.7736	4.77838	-3.56859
304	1	50	-11.7435	2.17282	-0.260823
2659	1	44	-13.605	2.9582	-0.603288
2147	1	65	-13.2064	2.86893	0.942466
3988	0	67	-12.7094	4.95635	-3.94478
3370	1	47	-10.7103	6.36043	-0.740713
1818	0	69	-9.86868	3.84604	0.63814
3406	1	61	-11.4341	4.52423	-1.36436
2573	0	65	-12.0129	2.63391	0.988584
1428	0	56	-14.939	1.86639	-2.02447
238	0	56	-8.49043	2.27728	-2.67911
2242	0	67	-11.2234	5.15766	-1.54231
3644	0	47	-11.627	3.64608	-0.789653
3573	0	57	-14.7772	5.66763	-3.42596
3604	1	53	-10.969	3.3986	0.330752
1328	1	67	-12.7059	2.51432	-0.148229
3499	0	54	-10.1914	3.88276	-2.25807
2086	0	65	-12.4149	2.30661	-1.46329
831	0	64	-9.85336	5.78429	-0.501224
1574	0	54	-12.8629	5.4112	0.144194
3596	1	45	-9.73328	0.392236	-1.67681
1838	1	45	-11.032	2.15116	-2.57575
329	0	48	-7.78054	2.90318	-2.55978
606	1	50	-13.4501	6.02988	-3.99614
1703	0	61	-13.1316	2.44551	0.0957859
2796	1	55	-15.1634	1.91926	-2.90318
1368	1	42	-15.018	2.63176	-5.05794
481	1	53	-14.3936	5.1737	-2.78636
2978	0	48	-15.3569	4.18561	1.38844
1418	0	65	-14.0987	7.64528	-0.805772
2045	1	46	-10.6398	6.3166	-1.74455
989	1	60	-13.1767	2.18774	-2.52362
2887	0	66	-10.743	3.65066	-2.03696
2710	1	55	-11.4041	2.34044	-1.0485
3690	1	43	-11.7924	4.21195	-0.885461
261	1	66	-11.9666	4.61238	-0.0862728
3511	1	66	-11.8294	4.2914	-1.57772
3251	0	65	-12.336	5.27224	-4.98236
2128	0	64	-10.9592	6.05047	-1.85994
2058	1	53	-12.2009	3.46903	-1.99358
3861	1	65	-11.8748	4.09739	-4.38516
520	0	43	-10.287	2.23833	-2.22646
226	0	43	-13.5693	2.02375	-2.50735
465	0	56	-10.1719	4.15249	0.595967
1182	0	60	-11.2014	0.49384	-0.75663
2752	0	55	-13.7067	5.70911	-0.0364905
1495	0	58	-12.89	4.87194	-2.29827
1823	0	56	-10.9787	5.28941	-1.10606
463	1	47	-14.1312	2.14544	-3.33824
2433	0	64	-12.7385	3.96094	-3.55065
785	1	52	-12.774	5.11076	-1.26133
3688	0	58	-13.2423	3.958	-1.68578
2718	0	67	-11.6525	5.27515	-2.41383
2911	1	66	-14.0253	4.07579	-5.17843
2960	1	56	-13.5824	1.50427	-3.8568
1745	0	67	-12.6459	2.43546	0.35756
3016	0	52	-12.8711	5.60768	-3.01092
2672	1	43	-13.8679	1.78505	-4.99032
1946	1	40	-9.35934	4.72724	1.01743
3082	0	54	-11.5679	3.13692	-1.64056
435	1	64	-12.3228	3.79458	-4.28251
2979	1	52	-13.8806	3.61407	-2.28974
3312	0	46	-10.6573	2.43743	-2.41997
3308	1	47	-14.818	3.92641	-2.16477
302	0	65	-11.078	4.51371	-2.51789
1794	1	57	-14.0279	6.54105	-2.15823
1423	1	61	-9.1654	1.48701	0.133803
2821	0	61	-11.5567	3.3635	-0.254978
1247	0	63	-11.1113	4.61035	1.03851
1878	1	53	-12.7466	6.25349	-1.34616
2741	0	61	-12.5586	3.17214	-2.40552
2917	1	49	-14.643	1.69101	-2.33223
3298	1	68	-15.2794	6.31963	-5.83761
2267	0	60	-10.1679	3.14796	-0.269547
2556	1	66	-14.0654	2.25127	1.86315
